epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2817.54,1.36569,1.34465,1.20367,0.54023,0.36266,0.36722,0.23164,1.31963,1.22875,1.14252,0.00023764,0.00023764,0.00023764
43,2881.68,1.37016,1.33619,1.20055,0.54478,0.35293,0.36551,0.22822,1.34701,1.24765,1.14375,0.00023368,0.00023368,0.00023368
44,2945.19,1.36286,1.32702,1.19638,0.53992,0.34695,0.36204,0.23075,1.34295,1.24131,1.1428,0.00022972,0.00022972,0.00022972
45,3008.02,1.35303,1.3188,1.19923,0.60825,0.36285,0.37273,0.2401,1.33749,1.24451,1.14449,0.00022576,0.00022576,0.00022576
46,3078.38,1.35614,1.29816,1.18835,0.61492,0.35689,0.37327,0.23664,1.32703,1.24187,1.14179,0.0002218,0.0002218,0.0002218
47,3144.29,1.34753,1.3089,1.19256,0.50524,0.38231,0.36194,0.2314,1.33017,1.2457,1.13857,0.00021784,0.00021784,0.00021784
48,3206.49,1.35011,1.30434,1.18888,0.59161,0.3631,0.37318,0.23859,1.33593,1.23327,1.14621,0.00021388,0.00021388,0.00021388
49,3268.65,1.3454,1.28921,1.18048,0.53632,0.37117,0.36922,0.23403,1.34451,1.22094,1.13969,0.00020992,0.00020992,0.00020992
50,3335.83,1.3468,1.28644,1.18927,0.64637,0.35293,0.38406,0.24478,1.32446,1.20269,1.13439,0.00020596,0.00020596,0.00020596
51,3402.04,1.34079,1.28155,1.18046,0.57481,0.36462,0.37055,0.23764,1.31787,1.21476,1.13572,0.000202,0.000202,0.000202
52,3467.96,1.34332,1.27222,1.18473,0.55583,0.3442,0.37498,0.23893,1.33073,1.20581,1.13742,0.00019804,0.00019804,0.00019804
53,3536.59,1.32767,1.25351,1.17701,0.5747,0.3492,0.37322,0.24048,1.33924,1.20816,1.14139,0.00019408,0.00019408,0.00019408
54,3603.03,1.32296,1.25,1.17373,0.61357,0.36462,0.37064,0.23448,1.34328,1.21982,1.14287,0.00019012,0.00019012,0.00019012
55,3670.55,1.3267,1.25135,1.17346,0.57892,0.35759,0.37644,0.24203,1.3146,1.20905,1.13458,0.00018616,0.00018616,0.00018616
56,3737.66,1.32416,1.24639,1.17462,0.55508,0.36123,0.37923,0.2408,1.33139,1.21425,1.14032,0.0001822,0.0001822,0.0001822
57,3804.84,1.32036,1.2427,1.17529,0.58173,0.36747,0.38529,0.2494,1.32859,1.19991,1.13687,0.00017824,0.00017824,0.00017824
58,3873.03,1.32637,1.2375,1.17425,0.55761,0.36058,0.37861,0.23887,1.3417,1.2041,1.14482,0.00017428,0.00017428,0.00017428
59,3939.71,1.30263,1.2141,1.16542,0.61777,0.382,0.39589,0.25438,1.31052,1.18438,1.12976,0.00017032,0.00017032,0.00017032
60,4006.65,1.30548,1.22059,1.16501,0.60302,0.38015,0.38786,0.24426,1.33135,1.20103,1.13875,0.00016636,0.00016636,0.00016636
61,4075.49,1.30715,1.21966,1.16738,0.67127,0.35313,0.39161,0.24917,1.33219,1.17965,1.13242,0.0001624,0.0001624,0.0001624
62,4141.76,1.29915,1.2066,1.16181,0.56372,0.37247,0.39014,0.24882,1.32327,1.18875,1.13549,0.00015844,0.00015844,0.00015844
63,4208.52,1.30282,1.20406,1.16563,0.55603,0.36909,0.3829,0.24716,1.32199,1.17819,1.13313,0.00015448,0.00015448,0.00015448
64,4274.88,1.29562,1.20362,1.16268,0.61282,0.35654,0.38793,0.24819,1.32197,1.17534,1.13463,0.00015052,0.00015052,0.00015052
65,4341.62,1.29492,1.18863,1.15854,0.58885,0.36183,0.38868,0.24469,1.3286,1.18274,1.1373,0.00014656,0.00014656,0.00014656
66,4408.87,1.29243,1.18852,1.15505,0.54632,0.38289,0.38771,0.24238,1.33969,1.18173,1.13982,0.0001426,0.0001426,0.0001426
67,4475.72,1.28602,1.17874,1.15081,0.56024,0.3785,0.38929,0.2484,1.31775,1.17402,1.13723,0.00013864,0.00013864,0.00013864
68,4543.3,1.2958,1.181,1.1558,0.56996,0.37492,0.39128,0.24819,1.32114,1.17982,1.13433,0.00013468,0.00013468,0.00013468
69,4610.96,1.2869,1.15909,1.14903,0.55634,0.40656,0.40254,0.25586,1.31062,1.17225,1.13061,0.00013072,0.00013072,0.00013072
70,4681.48,1.27739,1.16209,1.14817,0.59377,0.37608,0.4007,0.2546,1.32674,1.16447,1.14084,0.00012676,0.00012676,0.00012676
71,4754.41,1.28195,1.15988,1.14927,0.54852,0.39354,0.39977,0.25611,1.3183,1.16872,1.12894,0.0001228,0.0001228,0.0001228
