epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5133,1.79667,2.89047,1.45796,0.41353,0.40963,0.33183,0.1767,1.64657,2.00675,1.30943,0.000415082,0.000415082,0.000415082
2,98.59,1.76457,2.01131,1.47842,0.49205,0.32639,0.3228,0.17525,1.67544,1.96333,1.35674,0.000823515,0.000823515,0.000823515
3,140.518,1.75284,1.9518,1.46902,0.39512,0.39253,0.32677,0.16899,1.68905,2.00894,1.40739,0.0012237,0.0012237,0.0012237
4,183.419,1.74827,1.88255,1.45205,0.48747,0.41224,0.4115,0.22308,1.65355,1.71757,1.36546,0.00121287,0.00121287,0.00121287
5,227.888,1.70879,1.80859,1.43191,0.52123,0.41681,0.4229,0.2263,1.62381,1.89248,1.33853,0.0012005,0.0012005,0.0012005
6,273.164,1.68007,1.76539,1.41524,0.53727,0.43418,0.4463,0.24933,1.63384,1.57897,1.3415,0.00118812,0.00118812,0.00118812
7,328.885,1.67423,1.69979,1.40286,0.54293,0.44035,0.46156,0.26812,1.49731,1.67091,1.27846,0.00117575,0.00117575,0.00117575
8,373.493,1.63703,1.66017,1.38578,0.58266,0.46072,0.49082,0.28164,1.54625,1.43597,1.2801,0.00116337,0.00116337,0.00116337
9,419.996,1.63416,1.63084,1.38163,0.60458,0.47254,0.51159,0.29805,1.5054,1.39319,1.26968,0.001151,0.001151,0.001151
10,469.048,1.60722,1.58647,1.36156,0.61351,0.46671,0.50674,0.29044,1.5382,1.39388,1.26867,0.00113863,0.00113863,0.00113863
11,513.796,1.60632,1.57719,1.3629,0.63461,0.47006,0.52385,0.30692,1.48535,1.37245,1.24586,0.00112625,0.00112625,0.00112625
12,558.186,1.58829,1.54491,1.34709,0.59292,0.48489,0.52555,0.30682,1.49271,1.3916,1.24936,0.00111388,0.00111388,0.00111388
13,602.411,1.57836,1.50579,1.33594,0.64189,0.49086,0.53491,0.31284,1.49678,1.35174,1.25387,0.0011015,0.0011015,0.0011015
14,650.266,1.5708,1.49293,1.33385,0.61419,0.50275,0.54341,0.31588,1.49828,1.31829,1.22849,0.00108913,0.00108913,0.00108913
15,693.756,1.54194,1.46615,1.32386,0.61197,0.50239,0.55267,0.32823,1.47153,1.31045,1.22306,0.00107675,0.00107675,0.00107675
16,737.863,1.55428,1.45172,1.32325,0.66507,0.51095,0.57201,0.33477,1.46789,1.2541,1.23308,0.00106437,0.00106437,0.00106437
17,782.181,1.53733,1.42955,1.31248,0.64859,0.51913,0.5751,0.34631,1.42115,1.22549,1.20902,0.001052,0.001052,0.001052
18,827.518,1.52923,1.41257,1.30515,0.66046,0.51695,0.57877,0.33903,1.47616,1.24095,1.23054,0.00103962,0.00103962,0.00103962
19,871.51,1.51441,1.39431,1.29998,0.67387,0.51939,0.58924,0.35385,1.41144,1.21478,1.20517,0.00102725,0.00102725,0.00102725
20,916.143,1.5177,1.37925,1.29519,0.68154,0.52764,0.59398,0.34256,1.5056,1.22264,1.24249,0.00101488,0.00101488,0.00101488
21,959.978,1.48883,1.35601,1.29117,0.65406,0.52967,0.58481,0.34591,1.4484,1.22841,1.21729,0.0010025,0.0010025,0.0010025
22,1003.5,1.50021,1.35628,1.28806,0.71142,0.52482,0.60414,0.36144,1.41051,1.17721,1.20114,0.000990125,0.000990125,0.000990125
23,1049.5,1.48307,1.3353,1.28009,0.66828,0.532,0.59541,0.36535,1.38164,1.16304,1.18726,0.00097775,0.00097775,0.00097775
24,1099.24,1.48778,1.31069,1.27698,0.68105,0.52915,0.59899,0.35787,1.42664,1.17961,1.20896,0.000965375,0.000965375,0.000965375
25,1152.28,1.47751,1.31221,1.27329,0.68195,0.53105,0.60475,0.36518,1.4235,1.17632,1.20196,0.000953,0.000953,0.000953
26,1198.62,1.46245,1.29493,1.26801,0.6695,0.54859,0.60088,0.3637,1.40219,1.15239,1.19871,0.000940625,0.000940625,0.000940625
27,1246.04,1.45978,1.27051,1.25937,0.68794,0.53703,0.60598,0.36478,1.42375,1.16852,1.2006,0.00092825,0.00092825,0.00092825
28,1291.74,1.45383,1.27735,1.26055,0.70098,0.54117,0.60954,0.36437,1.40779,1.14871,1.19924,0.000915875,0.000915875,0.000915875
29,1338.44,1.45604,1.2632,1.26054,0.69428,0.546,0.61726,0.3703,1.41362,1.16236,1.20281,0.0009035,0.0009035,0.0009035
30,1384.79,1.44641,1.2664,1.26365,0.70475,0.53146,0.60995,0.37264,1.40124,1.1281,1.18889,0.000891125,0.000891125,0.000891125
31,1432.04,1.43645,1.2402,1.24918,0.69259,0.55969,0.61864,0.3788,1.37876,1.11194,1.18372,0.00087875,0.00087875,0.00087875
32,1478.31,1.42773,1.23521,1.24341,0.69691,0.56042,0.63081,0.38391,1.37951,1.10714,1.18607,0.000866375,0.000866375,0.000866375
33,1525.08,1.42065,1.22501,1.24112,0.69014,0.55119,0.61215,0.37182,1.40154,1.13364,1.1821,0.000854,0.000854,0.000854
34,1575.11,1.4252,1.21475,1.24046,0.67976,0.5605,0.62133,0.37664,1.40242,1.08773,1.18741,0.000841625,0.000841625,0.000841625
35,1634.73,1.41496,1.19726,1.23713,0.71317,0.55856,0.63347,0.3863,1.389,1.08109,1.17422,0.00082925,0.00082925,0.00082925
36,1681.51,1.41806,1.19719,1.23409,0.70976,0.56612,0.63365,0.39098,1.3679,1.07805,1.17565,0.000816875,0.000816875,0.000816875
37,1724.57,1.42356,1.19604,1.23293,0.70686,0.56094,0.63487,0.39159,1.36379,1.07851,1.16587,0.0008045,0.0008045,0.0008045
